Service,Sub_service,Sub_service_charge
ac_service_repair,Non-Inverter PCB repaired,['₹1800']
ac_service_repair,Inverter PCB repaired,['₹4000']
ac_service_repair,Replace LVT,"['₹900', '₹499 (Labour)']"
ac_service_repair,Capacitor 2-5 mfd,"['₹250', '₹349 (Labour)']"
ac_service_repair,Capacitor 10-25 mfd,"['₹400', '₹349 (Labour)']"
ac_service_repair,Capacitor 35-50 mfd,"['₹400', '₹349 (Labour)']"
ac_service_repair,Capacitor 50-60 mfd,"['₹400', '₹349 (Labour)']"
ac_service_repair,Replace sensor,"['₹350', '₹499 (Labour)']"
ac_service_repair,Contactor replaced,"['₹500', '₹499 (Labour)']"
ac_service_repair,Contactor Daikin/ O-General,"['₹1500', '₹449 (Labour)']"
ac_service_repair,Convert PCB with remote,['₹1500']
ac_service_repair,Gas Charging,['₹2500']
ac_service_repair,Flair nut replaced,['₹150']
ac_service_repair,Cooling / Condenser Coil repair,['₹500']
ac_service_repair,Copper Coil Condensor 1.5 ton Split,['₹4000']
ac_service_repair,Copper Coil Condensor 2 ton Split,['₹4500']
ac_service_repair,Service valve replaced (1 Pc),['₹400']
ac_service_repair,Copper Cooling Coil (Split AC),['₹6000']
ac_service_repair,Capillary and filter replaced,['₹350']
ac_service_repair,Compressor 0.8-1 ton,['₹6500']
ac_service_repair,Compressor 1.5 ton,['₹7500']
ac_service_repair,Compressor 2 ton,['₹9200']
ac_service_repair,Expansion valve replaced,['₹1200']
ac_service_repair,Dead nut (1 pc),['₹50']
ac_service_repair,U Band replaced (1 pc),['₹50']
ac_service_repair,Pin Valve for window AC,['₹50']
ac_service_repair,Copper Cooling Coil (Window AC),['₹4500']
ac_service_repair,Fan motor outdoor,"['₹1800', '₹499 (Labour)']"
ac_service_repair,Blower motor replaced,"['₹2200', '₹499 (Labour)']"
ac_service_repair,Blower replaced,"['₹1100', '₹499 (Labour)']"
ac_service_repair,Replace Flap/Swing Motor,"['₹400', '₹499 (Labour)']"
